size,allowed_shape,forbidden_shape,forbidden_size,cell_count,cell_radius,cell_interaction_radius,distribution,pixels_covered_0,pixels_covered_1,pixels_covered_2_plus,total_pixels,pixels_covered_2_plus_not_forbidden,total_pixels_not_forbidden,varied_parameter,repeat
50,square,none,0.0,1000,0.01,0.05,"normal(0.50, 0.10)",734,290,1476,2368,1476,2368,size,0
50,square,none,0.0,1000,0.01,0.05,"normal(0.50, 0.10)",731,289,1480,2368,1480,2368,size,1
50,square,none,0.0,1000,0.01,0.05,"normal(0.50, 0.10)",579,222,1699,2364,1699,2364,size,2
50,square,none,0.0,1000,0.01,0.05,"normal(0.50, 0.10)",709,293,1498,2382,1498,2382,size,3
50,square,none,0.0,1000,0.01,0.05,"normal(0.50, 0.10)",608,273,1619,2356,1619,2356,size,4
100,square,none,0.0,1000,0.01,0.05,"normal(0.50, 0.10)",3071,972,5957,9003,5957,9003,size,0
100,square,none,0.0,1000,0.01,0.05,"normal(0.50, 0.10)",3132,935,5933,8930,5933,8930,size,1
100,square,none,0.0,1000,0.01,0.05,"normal(0.50, 0.10)",3804,1105,5091,9135,5091,9135,size,2
100,square,none,0.0,1000,0.01,0.05,"normal(0.50, 0.10)",3884,929,5187,9095,5187,9095,size,3
100,square,none,0.0,1000,0.01,0.05,"normal(0.50, 0.10)",3035,1034,5931,8992,5931,8992,size,4
200,square,none,0.0,1000,0.01,0.05,"normal(0.50, 0.10)",11573,4203,24224,36995,24224,36995,size,0
200,square,none,0.0,1000,0.01,0.05,"normal(0.50, 0.10)",12786,3855,23359,36832,23359,36832,size,1
200,square,none,0.0,1000,0.01,0.05,"normal(0.50, 0.10)",13048,5022,21930,37830,21930,37830,size,2
200,square,none,0.0,1000,0.01,0.05,"normal(0.50, 0.10)",14735,3762,21503,37314,21503,37314,size,3
200,square,none,0.0,1000,0.01,0.05,"normal(0.50, 0.10)",11201,3818,24981,36624,24981,36624,size,4
100,square,none,0.0,1000,0.01,0.05,"normal(0.50, 0.10)",3137,1040,5823,9030,5823,9030,allowed_shape,0
100,square,none,0.0,1000,0.01,0.05,"normal(0.50, 0.10)",3304,992,5704,9129,5704,9129,allowed_shape,1
100,square,none,0.0,1000,0.01,0.05,"normal(0.50, 0.10)",3210,989,5801,9018,5801,9018,allowed_shape,2
100,square,none,0.0,1000,0.01,0.05,"normal(0.50, 0.10)",3032,886,6082,9021,6082,9021,allowed_shape,3
100,square,none,0.0,1000,0.01,0.05,"normal(0.50, 0.10)",3061,954,5985,9080,5985,9080,allowed_shape,4
100,circle,none,0.0,1000,0.01,0.05,"normal(0.50, 0.10)",1802,861,5180,7162,5180,7162,allowed_shape,0
100,circle,none,0.0,1000,0.01,0.05,"normal(0.50, 0.10)",1218,517,6108,6918,6108,6918,allowed_shape,1
100,circle,none,0.0,1000,0.01,0.05,"normal(0.50, 0.10)",1432,788,5623,6989,5623,6989,allowed_shape,2
100,circle,none,0.0,1000,0.01,0.05,"normal(0.50, 0.10)",1831,734,5278,7047,5278,7047,allowed_shape,3
100,circle,none,0.0,1000,0.01,0.05,"normal(0.50, 0.10)",1560,791,5492,6853,5492,6853,allowed_shape,4
100,square,none,0.0,1000,0.01,0.05,"normal(0.50, 0.10)",2443,1176,6381,9080,6381,9080,forbidden_shape,0
100,square,none,0.0,1000,0.01,0.05,"normal(0.50, 0.10)",3506,1125,5369,9236,5369,9236,forbidden_shape,1
100,square,none,0.0,1000,0.01,0.05,"normal(0.50, 0.10)",2964,1082,5954,9190,5954,9190,forbidden_shape,2
100,square,none,0.0,1000,0.01,0.05,"normal(0.50, 0.10)",3365,833,5802,8995,5802,8995,forbidden_shape,3
100,square,none,0.0,1000,0.01,0.05,"normal(0.50, 0.10)",3363,863,5774,9068,5774,9068,forbidden_shape,4
100,square,square,0.0,1000,0.01,0.05,"normal(0.50, 0.10)",3866,773,5361,9086,5361,9086,forbidden_shape,0
100,square,square,0.0,1000,0.01,0.05,"normal(0.50, 0.10)",3117,937,5946,8959,5946,8959,forbidden_shape,1
100,square,square,0.0,1000,0.01,0.05,"normal(0.50, 0.10)",3570,936,5494,9067,5494,9067,forbidden_shape,2
100,square,square,0.0,1000,0.01,0.05,"normal(0.50, 0.10)",3360,931,5709,9170,5709,9170,forbidden_shape,3
100,square,square,0.0,1000,0.01,0.05,"normal(0.50, 0.10)",3597,981,5422,9187,5422,9187,forbidden_shape,4
100,square,circle,0.0,1000,0.01,0.05,"normal(0.50, 0.10)",3893,1035,5071,8958,5071,8958,forbidden_shape,0
100,square,circle,0.0,1000,0.01,0.05,"normal(0.50, 0.10)",2981,1136,5882,9130,5882,9130,forbidden_shape,1
100,square,circle,0.0,1000,0.01,0.05,"normal(0.50, 0.10)",2684,1184,6131,9163,6131,9163,forbidden_shape,2
100,square,circle,0.0,1000,0.01,0.05,"normal(0.50, 0.10)",3721,1072,5206,9178,5206,9178,forbidden_shape,3
100,square,circle,0.0,1000,0.01,0.05,"normal(0.50, 0.10)",3802,1053,5144,9028,5144,9028,forbidden_shape,4
100,square,none,0.0,1000,0.01,0.05,"normal(0.50, 0.10)",3129,970,5901,9037,5901,9037,forbidden_size,0
100,square,none,0.0,1000,0.01,0.05,"normal(0.50, 0.10)",3318,860,5822,8974,5822,8974,forbidden_size,1
100,square,none,0.0,1000,0.01,0.05,"normal(0.50, 0.10)",3488,864,5648,8959,5648,8959,forbidden_size,2
100,square,none,0.0,1000,0.01,0.05,"normal(0.50, 0.10)",3351,987,5662,9338,5662,9338,forbidden_size,3
100,square,none,0.0,1000,0.01,0.05,"normal(0.50, 0.10)",3297,872,5831,9017,5831,9017,forbidden_size,4
100,square,none,0.1,1000,0.01,0.05,"normal(0.50, 0.10)",3757,939,5304,8831,5304,8831,forbidden_size,0
100,square,none,0.1,1000,0.01,0.05,"normal(0.50, 0.10)",3057,802,6141,8979,6141,8979,forbidden_size,1
100,square,none,0.1,1000,0.01,0.05,"normal(0.50, 0.10)",3641,914,5445,9076,5445,9076,forbidden_size,2
100,square,none,0.1,1000,0.01,0.05,"normal(0.50, 0.10)",4009,895,5096,8923,5096,8923,forbidden_size,3
100,square,none,0.1,1000,0.01,0.05,"normal(0.50, 0.10)",4108,863,5029,9107,5029,9107,forbidden_size,4
100,square,none,0.2,1000,0.01,0.05,"normal(0.50, 0.10)",3765,935,5300,9021,5300,9021,forbidden_size,0
100,square,none,0.2,1000,0.01,0.05,"normal(0.50, 0.10)",3026,1098,5876,9094,5876,9094,forbidden_size,1
100,square,none,0.2,1000,0.01,0.05,"normal(0.50, 0.10)",3507,1147,5346,8999,5346,8999,forbidden_size,2
100,square,none,0.2,1000,0.01,0.05,"normal(0.50, 0.10)",2713,1216,6071,9004,6071,9004,forbidden_size,3
100,square,none,0.2,1000,0.01,0.05,"normal(0.50, 0.10)",3115,1163,5722,9173,5722,9173,forbidden_size,4
100,square,none,0.3,1000,0.01,0.05,"normal(0.50, 0.10)",3647,1001,5352,9066,5352,9066,forbidden_size,0
100,square,none,0.3,1000,0.01,0.05,"normal(0.50, 0.10)",3001,951,6048,8945,6048,8945,forbidden_size,1
100,square,none,0.3,1000,0.01,0.05,"normal(0.50, 0.10)",3811,1117,5072,9020,5072,9020,forbidden_size,2
100,square,none,0.3,1000,0.01,0.05,"normal(0.50, 0.10)",3381,833,5786,9202,5786,9202,forbidden_size,3
100,square,none,0.3,1000,0.01,0.05,"normal(0.50, 0.10)",2695,1168,6137,9111,6137,9111,forbidden_size,4
100,square,none,0.0,500,0.01,0.05,"normal(0.50, 0.10)",3499,1189,5312,9222,5312,9222,cell_count,0
100,square,none,0.0,500,0.01,0.05,"normal(0.50, 0.10)",3943,1353,4704,9058,4704,9058,cell_count,1
100,square,none,0.0,500,0.01,0.05,"normal(0.50, 0.10)",3904,1030,5066,9169,5066,9169,cell_count,2
100,square,none,0.0,500,0.01,0.05,"normal(0.50, 0.10)",3700,1271,5029,9225,5029,9225,cell_count,3
100,square,none,0.0,500,0.01,0.05,"normal(0.50, 0.10)",4211,979,4810,9157,4810,9157,cell_count,4
100,square,none,0.0,1000,0.01,0.05,"normal(0.50, 0.10)",2924,1331,5745,9117,5745,9117,cell_count,0
100,square,none,0.0,1000,0.01,0.05,"normal(0.50, 0.10)",3062,873,6065,9027,6065,9027,cell_count,1
100,square,none,0.0,1000,0.01,0.05,"normal(0.50, 0.10)",3649,915,5436,8915,5436,8915,cell_count,2
100,square,none,0.0,1000,0.01,0.05,"normal(0.50, 0.10)",3192,1051,5757,9093,5757,9093,cell_count,3
100,square,none,0.0,1000,0.01,0.05,"normal(0.50, 0.10)",3367,965,5668,9018,5668,9018,cell_count,4
100,square,none,0.0,2000,0.01,0.05,"normal(0.50, 0.10)",3873,775,5352,8916,5352,8916,cell_count,0
100,square,none,0.0,2000,0.01,0.05,"normal(0.50, 0.10)",3519,822,5659,9024,5659,9024,cell_count,1
100,square,none,0.0,2000,0.01,0.05,"normal(0.50, 0.10)",2536,1032,6432,9014,6432,9014,cell_count,2
100,square,none,0.0,2000,0.01,0.05,"normal(0.50, 0.10)",3504,1109,5387,9040,5387,9040,cell_count,3
100,square,none,0.0,2000,0.01,0.05,"normal(0.50, 0.10)",3386,1020,5594,8814,5594,8814,cell_count,4
100,square,none,0.0,1000,0.0,0.05,"normal(0.50, 0.10)",5006,846,4148,9676,4148,9676,cell_radius,0
100,square,none,0.0,1000,0.0,0.05,"normal(0.50, 0.10)",4944,894,4162,9755,4162,9755,cell_radius,1
100,square,none,0.0,1000,0.0,0.05,"normal(0.50, 0.10)",4497,1091,4412,9677,4412,9677,cell_radius,2
100,square,none,0.0,1000,0.0,0.05,"normal(0.50, 0.10)",4986,1111,3903,9757,3903,9757,cell_radius,3
100,square,none,0.0,1000,0.0,0.05,"normal(0.50, 0.10)",4042,1454,4504,9783,4504,9783,cell_radius,4
100,square,none,0.0,1000,0.005,0.05,"normal(0.50, 0.10)",3880,1310,4810,9777,4810,9777,cell_radius,0
100,square,none,0.0,1000,0.005,0.05,"normal(0.50, 0.10)",3324,1092,5584,9747,5584,9747,cell_radius,1
100,square,none,0.0,1000,0.005,0.05,"normal(0.50, 0.10)",4356,1051,4593,9761,4593,9761,cell_radius,2
100,square,none,0.0,1000,0.005,0.05,"normal(0.50, 0.10)",3686,937,5377,9662,5377,9662,cell_radius,3
100,square,none,0.0,1000,0.005,0.05,"normal(0.50, 0.10)",4433,883,4684,9734,4684,9734,cell_radius,4
100,square,none,0.0,1000,0.01,0.05,"normal(0.50, 0.10)",2999,954,6047,9026,6047,9026,cell_radius,0
100,square,none,0.0,1000,0.01,0.05,"normal(0.50, 0.10)",4032,874,5094,9357,5094,9357,cell_radius,1
100,square,none,0.0,1000,0.01,0.05,"normal(0.50, 0.10)",2680,1043,6277,9055,6277,9055,cell_radius,2
100,square,none,0.0,1000,0.01,0.05,"normal(0.50, 0.10)",3094,1193,5713,9074,5713,9074,cell_radius,3
100,square,none,0.0,1000,0.01,0.05,"normal(0.50, 0.10)",2981,883,6136,9009,6136,9009,cell_radius,4
100,square,none,0.0,1000,0.02,0.05,"normal(0.50, 0.10)",3125,1952,4923,8881,4923,8881,cell_radius,0
100,square,none,0.0,1000,0.02,0.05,"normal(0.50, 0.10)",3259,1805,4936,9149,4936,9149,cell_radius,1
100,square,none,0.0,1000,0.02,0.05,"normal(0.50, 0.10)",3612,1751,4637,9126,4637,9126,cell_radius,2
100,square,none,0.0,1000,0.02,0.05,"normal(0.50, 0.10)",3800,1663,4537,9066,4537,9066,cell_radius,3
100,square,none,0.0,1000,0.02,0.05,"normal(0.50, 0.10)",3789,1707,4504,9083,4504,9083,cell_radius,4
100,square,none,0.0,1000,0.01,0.01,"normal(0.50, 0.10)",8302,1698,0,9044,0,9044,cell_interaction_radius,0
100,square,none,0.0,1000,0.01,0.01,"normal(0.50, 0.10)",8290,1710,0,8976,0,8976,cell_interaction_radius,1
100,square,none,0.0,1000,0.01,0.01,"normal(0.50, 0.10)",8262,1738,0,9312,0,9312,cell_interaction_radius,2
100,square,none,0.0,1000,0.01,0.01,"normal(0.50, 0.10)",8068,1932,0,9122,0,9122,cell_interaction_radius,3
100,square,none,0.0,1000,0.01,0.01,"normal(0.50, 0.10)",8307,1693,0,9001,0,9001,cell_interaction_radius,4
100,square,none,0.0,1000,0.01,0.03,"normal(0.50, 0.10)",4197,1362,4441,9026,4441,9026,cell_interaction_radius,0
100,square,none,0.0,1000,0.01,0.03,"normal(0.50, 0.10)",4120,1419,4461,9062,4461,9062,cell_interaction_radius,1
100,square,none,0.0,1000,0.01,0.03,"normal(0.50, 0.10)",4419,1477,4104,9092,4104,9092,cell_interaction_radius,2
100,square,none,0.0,1000,0.01,0.03,"normal(0.50, 0.10)",4667,1430,3903,9242,3903,9242,cell_interaction_radius,3
100,square,none,0.0,1000,0.01,0.03,"normal(0.50, 0.10)",4113,1499,4388,9102,4388,9102,cell_interaction_radius,4
100,square,none,0.0,1000,0.01,0.05,"normal(0.50, 0.10)",3141,1091,5768,9134,5768,9134,cell_interaction_radius,0
100,square,none,0.0,1000,0.01,0.05,"normal(0.50, 0.10)",3265,1088,5647,9122,5647,9122,cell_interaction_radius,1
100,square,none,0.0,1000,0.01,0.05,"normal(0.50, 0.10)",3238,1174,5588,9109,5588,9109,cell_interaction_radius,2
100,square,none,0.0,1000,0.01,0.05,"normal(0.50, 0.10)",3382,1029,5589,9061,5589,9061,cell_interaction_radius,3
100,square,none,0.0,1000,0.01,0.05,"normal(0.50, 0.10)",3662,1112,5226,9111,5226,9111,cell_interaction_radius,4
100,square,none,0.0,1000,0.01,0.07,"normal(0.50, 0.10)",3194,935,5871,9171,5871,9171,cell_interaction_radius,0
100,square,none,0.0,1000,0.01,0.07,"normal(0.50, 0.10)",2205,944,6851,9152,6851,9152,cell_interaction_radius,1
100,square,none,0.0,1000,0.01,0.07,"normal(0.50, 0.10)",2613,785,6602,9275,6602,9275,cell_interaction_radius,2
100,square,none,0.0,1000,0.01,0.07,"normal(0.50, 0.10)",2283,527,7190,9059,7190,9059,cell_interaction_radius,3
100,square,none,0.0,1000,0.01,0.07,"normal(0.50, 0.10)",2161,598,7241,9008,7241,9008,cell_interaction_radius,4
