size,allowed_shape,forbidden_shape,forbidden_size,cell_count_pop1,cell_count_pop2,cell_radius,cell_interaction_radius,distribution,dist_params_pop1,dist_params_pop2,pixels_no_interaction,pixels_pop1_only,pixels_pop2_only,pixels_both_populations,total_pixels,varied_parameter,repeat
50,square,none,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",604,222,249,1425,2500,size,0
50,square,none,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",647,202,214,1437,2500,size,1
50,square,none,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",434,199,243,1624,2500,size,2
50,square,none,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",504,253,182,1561,2500,size,3
50,square,none,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",550,260,242,1448,2500,size,4
100,square,none,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2266,769,872,6093,10000,size,0
100,square,none,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2134,764,974,6128,10000,size,1
100,square,none,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2268,912,777,6043,10000,size,2
100,square,none,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2821,1066,608,5505,10000,size,3
100,square,none,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2630,517,837,6016,10000,size,4
200,square,none,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",8390,3672,2983,24955,40000,size,0
200,square,none,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",8155,4235,2962,24648,40000,size,1
200,square,none,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",9046,3341,3840,23773,40000,size,2
200,square,none,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",9659,3641,3793,22907,40000,size,3
200,square,none,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",7811,3012,3953,25224,40000,size,4
100,square,none,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2649,750,1065,5536,10000,allowed_shape,0
100,square,none,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",1764,807,983,6446,10000,allowed_shape,1
100,square,none,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2500,767,729,6004,10000,allowed_shape,2
100,square,none,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2198,869,778,6155,10000,allowed_shape,3
100,square,none,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2810,1259,620,5311,10000,allowed_shape,4
100,circle,none,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",539,783,771,5993,7843,allowed_shape,0
100,circle,none,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",821,465,914,5858,7843,allowed_shape,1
100,circle,none,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",709,667,649,5906,7843,allowed_shape,2
100,circle,none,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",458,780,652,6162,7843,allowed_shape,3
100,circle,none,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",946,721,623,5734,7843,allowed_shape,4
100,square,none,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2437,965,591,6007,10000,forbidden_shape,0
100,square,none,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2861,887,875,5377,10000,forbidden_shape,1
100,square,none,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",3178,539,1065,5218,10000,forbidden_shape,2
100,square,none,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2454,753,902,5891,10000,forbidden_shape,3
100,square,none,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2590,643,850,5917,10000,forbidden_shape,4
100,square,square,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2458,922,782,5838,10000,forbidden_shape,0
100,square,square,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2732,832,567,5869,10000,forbidden_shape,1
100,square,square,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2391,839,706,6064,10000,forbidden_shape,2
100,square,square,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2854,554,717,5875,10000,forbidden_shape,3
100,square,square,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2506,657,789,6048,10000,forbidden_shape,4
100,square,circle,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2421,947,720,5911,9999,forbidden_shape,0
100,square,circle,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",1808,994,740,6457,9999,forbidden_shape,1
100,square,circle,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",1968,781,927,6323,9999,forbidden_shape,2
100,square,circle,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2413,1028,885,5673,9999,forbidden_shape,3
100,square,circle,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2141,932,879,6047,9999,forbidden_shape,4
100,square,none,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2425,972,537,6066,10000,forbidden_size,0
100,square,none,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",1723,975,865,6437,10000,forbidden_size,1
100,square,none,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2147,724,1115,6014,10000,forbidden_size,2
100,square,none,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2040,819,809,6332,10000,forbidden_size,3
100,square,none,0.0,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2476,626,1053,5845,10000,forbidden_size,4
100,square,none,0.1,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2402,832,746,6020,10000,forbidden_size,0
100,square,none,0.1,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",2350,1065,619,5966,10000,forbidden_size,1
100,square,none,0.1,500,500,0.01,0.05,normal,"(0.50, 0.10)","(0.50, 0.10)",1896,727,724,6653,10000,forbidden_size,2
